experiment,variable,value,prompt,seed,clip_score,gen_time_sec,image_path
exp1_cfg_scale,cfg_scale,1,a majestic lion in the savanna at sunset,42,0.6505,9.77,results\exp1_cfg_scale_cfg_scale_1_seed42_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,1,a majestic lion in the savanna at sunset,123,0.6396,5.41,results\exp1_cfg_scale_cfg_scale_1_seed123_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,1,a majestic lion in the savanna at sunset,999,0.6431,5.11,results\exp1_cfg_scale_cfg_scale_1_seed999_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,1,a futuristic city skyline with flying cars,42,0.6519,5.37,results\exp1_cfg_scale_cfg_scale_1_seed42_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,1,a futuristic city skyline with flying cars,123,0.6259,5.39,results\exp1_cfg_scale_cfg_scale_1_seed123_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,1,a futuristic city skyline with flying cars,999,0.6498,5.42,results\exp1_cfg_scale_cfg_scale_1_seed999_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,1,a cozy cabin in a snowy forest,42,0.6452,5.47,results\exp1_cfg_scale_cfg_scale_1_seed42_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,1,a cozy cabin in a snowy forest,123,0.6431,5.66,results\exp1_cfg_scale_cfg_scale_1_seed123_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,1,a cozy cabin in a snowy forest,999,0.6445,5.44,results\exp1_cfg_scale_cfg_scale_1_seed999_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,3,a majestic lion in the savanna at sunset,42,0.6688,9.08,results\exp1_cfg_scale_cfg_scale_3_seed42_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,3,a majestic lion in the savanna at sunset,123,0.65,9.08,results\exp1_cfg_scale_cfg_scale_3_seed123_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,3,a majestic lion in the savanna at sunset,999,0.6654,9.11,results\exp1_cfg_scale_cfg_scale_3_seed999_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,3,a futuristic city skyline with flying cars,42,0.6528,8.94,results\exp1_cfg_scale_cfg_scale_3_seed42_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,3,a futuristic city skyline with flying cars,123,0.6472,9.11,results\exp1_cfg_scale_cfg_scale_3_seed123_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,3,a futuristic city skyline with flying cars,999,0.6545,8.94,results\exp1_cfg_scale_cfg_scale_3_seed999_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,3,a cozy cabin in a snowy forest,42,0.6556,9.14,results\exp1_cfg_scale_cfg_scale_3_seed42_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,3,a cozy cabin in a snowy forest,123,0.6563,8.94,results\exp1_cfg_scale_cfg_scale_3_seed123_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,3,a cozy cabin in a snowy forest,999,0.6609,9.11,results\exp1_cfg_scale_cfg_scale_3_seed999_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,5,a majestic lion in the savanna at sunset,42,0.6683,8.96,results\exp1_cfg_scale_cfg_scale_5_seed42_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,5,a majestic lion in the savanna at sunset,123,0.6539,9.16,results\exp1_cfg_scale_cfg_scale_5_seed123_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,5,a majestic lion in the savanna at sunset,999,0.6713,8.98,results\exp1_cfg_scale_cfg_scale_5_seed999_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,5,a futuristic city skyline with flying cars,42,0.6575,9.17,results\exp1_cfg_scale_cfg_scale_5_seed42_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,5,a futuristic city skyline with flying cars,123,0.661,8.99,results\exp1_cfg_scale_cfg_scale_5_seed123_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,5,a futuristic city skyline with flying cars,999,0.6663,9.2,results\exp1_cfg_scale_cfg_scale_5_seed999_a_futuristic_city_sk.png
